Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6230545003693153;0.7044005394427746
ssn-REGNET;truck;2.0;0.9938271604938275;0.6690545012227014
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5146104636104636;0.5332237030355113
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.022222222222222223;0.044444444444444446
ssn-REGNET;barrier;2.0;0.7982252422181901;0.8745935050680299
