Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7080979514312848;0.8553205949442795
ssn-REGNET;truck;2.0;0.9917695473251031;nan
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9938271604938275;0.4444444444444445
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.9887899111848403
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.16255144032921812;0.23872795951006015
ssn-REGNET;barrier;2.0;0.5237109940813645;0.6184672339389653
