Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6892345679012347;0.5146547284305564
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.7555555555555558
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.44691358024691363;0.6301858187572636
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.5524691358024691;0.3341312433477388
ssn-REGNET;barrier;2.0;0.6988587105624142;0.7757029419683507
