Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5555555555555556;0.4965313406451612
ssn-REGNET;truck;2.0;0.4351851851851852;0.49938660499951393
ssn-REGNET;bus;2.0;0.4444444444444445;0.5333333333333333
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9555312390821038
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5555555555555556;0.5364718653651879
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.997956968811945
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.13333333333333333;0.07777777777777778
