Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6548845925316514;0.7705784491923705
ssn-REGNET;truck;2.0;0.49307893752338194;0.4739463353181954
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.996913580246914;0.9888888888888892
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.5555555555555556;0.4543648100786913
ssn-REGNET;barrier;2.0;0.5233736166920441;0.49763421434330896
