Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.3585671173819322;0.49928356321977274
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;1.0000000000000004;0.9666666666666668
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.5333333333333333;0.6555555555555557
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.2555555555555556;0.25555339805963384
