Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8340035273368608;0.9669062485542962
ssn-REGNET;truck;2.0;1.0000000000000004;0.9826309956216245
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9992295819983532
ssn-REGNET;pedestrian;2.0;0.7376543209876544;0.8949633915389665
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.07243827160493828;0.07997472248127145
ssn-REGNET;barrier;2.0;0.0;0.0
