Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.26222222222222225;0.11213038004054755
ssn-REGNET;truck;2.0;0.9917695473251031;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9555555555555557
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.996913580246914;0.9462240113394355
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.776406035665295;0.725841529184747
