Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8188686005352672;0.8319885658539597
ssn-REGNET;truck;2.0;0.9938271604938275;0.877777777777778
ssn-REGNET;bus;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.632716049382716;0.6198045641339304
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9846356000942059
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
