Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6235315861670637;0.7103278980275195
ssn-REGNET;truck;2.0;0.9524691358024694;0.99477403104872
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9901234567901236;0.4444444444444445
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.0508230452674897;0.08203842710511339
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.06530864197530865;0.047927590105615536
