Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6011266163030868;0.49727230960807456
ssn-REGNET;truck;2.0;1.0000000000000004;0.877777777777778
ssn-REGNET;bus;2.0;1.0000000000000004;0.9892921984556086
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.005568843282741576
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
