Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5827366255144033;0.5150754772012593
ssn-REGNET;truck;2.0;0.43415637860082307;0.9222222222222224
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9938271604938275;0.9444444444444446
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9984567901234571;0.9659940543320404
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.9682815500685874;0.8888888888888891
