Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.717798353909465;nan
ssn-REGNET;truck;2.0;0.9950617283950619;0.9331665101353147
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.523617813941888;0.6557206903790429
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.3294320987654321;0.35331463646417666
ssn-REGNET;barrier;2.0;0.17992740592740591;0.18145432947403864
