Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7524865649963689;0.66604078690704
ssn-REGNET;truck;2.0;0.9917695473251031;0.877777777777778
ssn-REGNET;bus;2.0;1.0000000000000004;0.9892921984556086
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9938271604938275;0.00550696724626667
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
