Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6286008230452675;0.9997583494829312
ssn-REGNET;truck;2.0;0.9958847736625516;0.998487406994142
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.7888888888888891;0.8404187451213957
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.06530864197530865;0.05611788848360405
ssn-REGNET;barrier;2.0;0.16666666666666666;0.2111111111111111
