Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.4888888888888889;0.5219061027390952
ssn-REGNET;truck;2.0;0.9917695473251031;0.9699207868617215
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.10123456790123456;nan
ssn-REGNET;pedestrian;2.0;0.9938271604938275;0.977777777777778
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.43827160493827155;0.4444444444444445
ssn-REGNET;barrier;2.0;0.35555555555555557;0.35555555555555557
