Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5950730987119877;0.6256541940865744
ssn-REGNET;truck;2.0;0.996913580246914;0.8650009204459828
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9666666666666668
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9919919468643337
ssn-REGNET;pedestrian;2.0;0.19999999999999998;0.3279160816385557
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
