Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7155745489078823;0.366598089781863
ssn-REGNET;truck;2.0;0.43621399176954734;0.0408638792728631
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.43621399176954734;0.4666666666666666
ssn-REGNET;pedestrian;2.0;0.26186556927297666;0.4227962444012391
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.5279482657260436;0.5142708103080399
ssn-REGNET;barrier;2.0;0.8166372439289107;0.8789368815764329
