Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6222222222222222;0.466588300958375
ssn-REGNET;truck;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9444444444444446
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5222222222222223;0.8006226477973781
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.11111111111111112;0.05555555555555556
