Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.835040404040404;0.7686878447734024
ssn-REGNET;truck;2.0;0.9917695473251031;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.998448229318398
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.9700687547951852
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.38888888888888884;0.3887370195567437
