Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7009442087426264;0.6970804383586947
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.9938271604938275;0.977777777777778
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9938271604938275;0.9903960769802842
ssn-REGNET;pedestrian;2.0;0.99647266313933;0.9120079033966293
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8130769806325362;0.8164648091323223
