Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.0;0.0
ssn-REGNET;truck;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9938271604938275;0.9937830718673916
ssn-REGNET;pedestrian;2.0;0.6609394562913082;0.6586578783779038
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.313957671957672;0.2584492987800756
ssn-REGNET;barrier;2.0;0.8159082984976693;0.7938357653728455
