Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7222222222222223;0.7773402970398874
ssn-REGNET;truck;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;bus;2.0;1.0000000000000004;0.99940935318267
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.2555555555555556;0.3217606979905598
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.5888888888888889;0.6099644762084847
