Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5570956790123458;0.43262749861932914
ssn-REGNET;truck;2.0;0.6300705467372134;0.20086684254993975
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.6976644754422533;0.6343620325494237
ssn-REGNET;motorcycle;2.0;0.9938271604938275;0.977777777777778
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.7325983412857683
ssn-REGNET;barrier;2.0;0.0;0.0
