Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8829528280881338;0.9553247642536568
ssn-REGNET;truck;2.0;0.05648148148148148;0.06671959710471516
ssn-REGNET;bus;2.0;0.9917695473251031;0.9888888888888892
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.8854217171170373
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.6555555555555557
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
